3.794984031 0.007471011
3.817949482 0.009443007
3.851818557 0.012249273
3.875286244 0.014158863
3.898744869 0.016317529
3.922208024 0.018351657
3.948613930 0.020369180
3.975020137 0.022378400
3.998495376 0.024080426
4.017489032 0.025494087
4.042517300 0.027110861
4.071872299 0.028937425
4.101222464 0.030896830
4.133532495 0.032369152
4.168801991 0.033365459
4.201138913 0.034098690
4.238121374 0.034222600
4.274700092 0.033891288
4.310027987 0.033282433
4.345393138 0.031649596
4.377831246 0.029601630
4.411256111 0.027387614
4.439777905 0.025159759
4.460450956 0.023014930
4.481114442 0.021133016
4.504725611 0.019098888
4.528341312 0.016940222
4.551957012 0.014781555
4.575574223 0.012581376
4.594142920 0.010877125
4.612242896 0.009414541
4.628703507 0.007890428
4.652314676 0.005856300
4.675924335 0.003863684
4.702471065 0.002010552
4.745974089 -0.000192711
4.781366885 -0.002222394
4.824548378 -0.003894762
4.870442229 -0.005379836
4.905784221 -0.006376143
4.941109096 -0.006901972
4.979390464 -0.007822173
5.011340121 -0.007997120
